AGE;EDUCATION;MARITAL_STATUS;OCCUPATION;RELATIONSHIP;RACE;GENDER;PROSPECT_ID;EMPLOYMENT;YEARS_EDUC;COUNTRY_OF_BIRTH;WORKWEEK_LENGTH;INV_LOSSES;INV_EARNINGS;RESPONSE;AMOUNT
37;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800811;BUSINESS;9;USA;40;0;0;;
37;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7800825;BUSINESS;9;USA;40;0;0;;
53;HIGHSCHOOL;MARRIEDCIVSPO;MANAGEXECUTIVE;HUSBAND;WHITE;MALE;7800837;BUSINESS;9;USA;40;0;0;;
33;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800916;BUSINESS;9;USA;40;0;0;;
39;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEVARIOUS;HUSBAND;WHITE;MALE;7800918;BUSINESS;9;USA;40;0;0;;
63;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800919;BUSINESS;9;USA;40;0;0;;
43;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7800931;BUSINESS;9;USA;40;0;0;;
26;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7800934;BUSINESS;9;USA;40;0;0;;
30;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800942;BUSINESS;9;USA;40;0;0;;
39;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800948;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800972;BUSINESS;9;USA;40;0;0;;
37;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800992;BUSINESS;9;USA;40;0;0;;
39;HIGHSCHOOL;MARRIEDCIVSPO;MANAGEXECUTIVE;HUSBAND;WHITE;MALE;7800998;BUSINESS;9;USA;40;0;0;;
45;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7801021;BUSINESS;9;USA;40;0;0;;
32;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801079;BUSINESS;9;USA;40;0;0;;
66;HIGHSCHOOL;MARRIEDCIVSPO;MANAGEXECUTIVE;HUSBAND;WHITE;MALE;7801122;BUSINESS;9;USA;40;0;0;;
56;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEVARIOUS;HUSBAND;WHITE;MALE;7801157;BUSINESS;9;USA;40;0;0;;
63;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801197;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801234;BUSINESS;9;USA;40;0;0;;
65;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7801297;BUSINESS;9;USA;40;0;0;;
48;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7801314;BUSINESS;9;USA;40;0;0;;
47;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801387;BUSINESS;9;USA;40;0;0;;
54;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7801407;BUSINESS;9;USA;40;0;0;;
31;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801448;BUSINESS;9;USA;40;0;0;;
30;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7801451;BUSINESS;9;USA;40;0;0;;
27;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7801524;BUSINESS;9;USA;40;0;0;;
54;HIGHSCHOOL;MARRIEDCIVSPO;SERVHOUSEPRIV;RELATOTHER;WHITE;FEMALE;7801563;BUSINESS;9;USA;40;0;0;;
57;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7801565;BUSINESS;9;USA;40;0;0;;
36;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7801574;BUSINESS;9;USA;40;0;0;;
46;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801624;BUSINESS;9;USA;40;0;0;;
26;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7801636;BUSINESS;9;USA;40;0;0;;
53;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7801660;BUSINESS;9;USA;40;0;0;;
22;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7801670;BUSINESS;9;USA;40;0;0;;
58;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7801688;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7801701;BUSINESS;9;USA;40;0;0;;
44;HIGHSCHOOL;MARRIEDCIVSPO;MANAGEXECUTIVE;HUSBAND;WHITE;MALE;7801702;BUSINESS;9;USA;40;0;0;;
30;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7801718;BUSINESS;9;USA;40;0;0;;
44;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801753;BUSINESS;9;USA;40;0;0;;
28;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7801837;BUSINESS;9;USA;40;0;0;;
28;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801943;BUSINESS;9;USA;40;0;0;;
65;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEPROTECT;HUSBAND;WHITE;MALE;7801945;BUSINESS;9;USA;40;0;0;;
40;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7801947;BUSINESS;9;USA;40;0;0;;
55;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7801972;BUSINESS;9;USA;40;0;0;;
39;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802029;BUSINESS;9;USA;40;0;0;;
47;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEVARIOUS;HUSBAND;WHITE;MALE;7802045;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802066;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802067;BUSINESS;9;USA;40;0;0;;
43;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7802069;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802078;BUSINESS;9;USA;40;0;0;;
22;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802115;BUSINESS;9;USA;40;0;0;;
45;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802159;BUSINESS;9;USA;40;0;0;;
51;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802168;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802195;BUSINESS;9;USA;40;0;0;;
37;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802203;BUSINESS;9;USA;40;0;0;;
41;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802211;BUSINESS;9;USA;40;0;0;;
25;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEPROTECT;HUSBAND;WHITE;MALE;7802220;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7802230;BUSINESS;9;USA;40;0;0;;
42;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEVARIOUS;HUSBAND;WHITE;MALE;7802231;BUSINESS;9;USA;40;0;0;;
58;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7802271;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802297;BUSINESS;9;USA;40;0;0;;
65;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEVARIOUS;HUSBAND;WHITE;MALE;7802305;BUSINESS;9;USA;40;0;0;;
42;HIGHSCHOOL;MARRIEDCIVSPO;MANAGEXECUTIVE;HUSBAND;WHITE;MALE;7802322;BUSINESS;9;USA;40;0;0;;
41;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802352;BUSINESS;9;USA;40;0;0;;
47;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802361;BUSINESS;9;USA;40;0;0;;
33;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7802373;BUSINESS;9;USA;40;0;0;;
49;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802426;BUSINESS;9;USA;40;0;0;;
35;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802433;BUSINESS;9;USA;40;0;0;;
48;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802466;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802467;BUSINESS;9;USA;40;0;0;;
57;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802470;BUSINESS;9;USA;40;0;0;;
24;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7802476;BUSINESS;9;USA;40;0;0;;
47;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7802600;BUSINESS;9;USA;40;0;0;;
54;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802629;BUSINESS;9;USA;40;0;0;;
43;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802655;BUSINESS;9;USA;40;0;0;;
47;HIGHSCHOOL;MARRIEDCIVSPO;SPECIALISTPROFF;HUSBAND;WHITE;MALE;7802661;BUSINESS;9;USA;40;0;0;;
36;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7802694;BUSINESS;9;USA;40;0;0;;
41;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7802706;BUSINESS;9;USA;40;0;0;;
32;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802731;BUSINESS;9;USA;40;0;0;;
60;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7802744;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEVARIOUS;HUSBAND;WHITE;MALE;7802764;BUSINESS;9;USA;40;0;0;;
23;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7802802;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7802820;BUSINESS;9;USA;40;0;0;;
44;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7802821;BUSINESS;9;USA;40;0;0;;
30;HIGHSCHOOL;MARRIEDCIVSPO;MANAGEXECUTIVE;HUSBAND;WHITE;MALE;7802830;BUSINESS;9;USA;40;0;0;;
41;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7802837;BUSINESS;9;USA;40;0;0;;
47;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7802989;BUSINESS;9;USA;40;0;0;;
50;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7803000;BUSINESS;9;USA;40;0;0;;
50;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803020;BUSINESS;9;USA;40;0;0;;
30;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803059;BUSINESS;9;USA;40;0;0;;
33;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7803123;BUSINESS;9;USA;40;0;0;;
33;HIGHSCHOOL;MARRIEDCIVSPO;SPECIALISTPROFF;HUSBAND;WHITE;MALE;7803189;BUSINESS;9;USA;40;0;0;;
29;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803223;BUSINESS;9;USA;40;0;0;;
37;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803267;BUSINESS;9;USA;40;0;0;;
51;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803271;BUSINESS;9;USA;40;0;0;;
48;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803292;BUSINESS;9;USA;40;0;0;;
45;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803321;BUSINESS;9;USA;40;0;0;;
37;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7803400;BUSINESS;9;USA;40;0;0;;
39;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803415;BUSINESS;9;USA;40;0;0;;
54;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803431;BUSINESS;9;USA;40;0;0;;
57;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803436;BUSINESS;9;USA;40;0;0;;
33;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7803450;BUSINESS;9;USA;40;0;0;;
46;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803467;BUSINESS;9;USA;40;0;0;;
35;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803489;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803525;BUSINESS;9;USA;40;0;0;;
47;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803526;BUSINESS;9;USA;40;0;0;;
62;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803545;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803595;BUSINESS;9;USA;40;0;0;;
39;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7803654;BUSINESS;9;USA;40;0;0;;
56;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803655;BUSINESS;9;USA;40;0;0;;
28;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7803695;BUSINESS;9;USA;40;0;0;;
42;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7803713;BUSINESS;9;USA;40;0;0;;
62;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803760;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803765;BUSINESS;9;USA;40;0;0;;
51;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7803801;BUSINESS;9;USA;40;0;0;;
52;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEPROTECT;HUSBAND;WHITE;MALE;7803805;BUSINESS;9;USA;40;0;0;;
39;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7803839;BUSINESS;9;USA;40;0;0;;
29;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7803853;BUSINESS;9;USA;40;0;0;;
44;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7803902;BUSINESS;9;USA;40;0;0;;
31;HIGHSCHOOL;MARRIEDCIVSPO;MANAGEXECUTIVE;HUSBAND;WHITE;MALE;7803912;BUSINESS;9;USA;40;0;0;;
36;HIGHSCHOOL;MARRIEDCIVSPO;FISHFARM;HUSBAND;WHITE;MALE;7803954;BUSINESS;9;USA;40;0;0;;
44;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7803986;BUSINESS;9;USA;40;0;0;;
36;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804004;BUSINESS;9;USA;40;0;0;;
37;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804064;BUSINESS;9;USA;40;0;0;;
44;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804071;BUSINESS;9;USA;40;0;0;;
40;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804078;BUSINESS;9;USA;40;0;0;;
63;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7804092;BUSINESS;9;USA;40;0;0;;
30;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7804113;BUSINESS;9;USA;40;0;0;;
57;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804127;BUSINESS;9;USA;40;0;0;;
29;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804151;BUSINESS;9;USA;40;0;0;;
33;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7804185;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804204;BUSINESS;9;USA;40;0;0;;
26;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7804205;BUSINESS;9;USA;40;0;0;;
30;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804279;BUSINESS;9;USA;40;0;0;;
51;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804292;BUSINESS;9;USA;40;0;0;;
29;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;CHILDHAVE;WHITE;FEMALE;7804330;BUSINESS;9;USA;40;0;0;;
52;HIGHSCHOOL;MARRIEDCIVSPO;SUPPORTTECHNIC;HUSBAND;WHITE;MALE;7804359;BUSINESS;9;USA;40;0;0;;
51;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804376;BUSINESS;9;USA;40;0;0;;
51;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEVARIOUS;HUSBAND;WHITE;MALE;7804421;BUSINESS;9;USA;40;0;0;;
40;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804427;BUSINESS;9;USA;40;0;0;;
52;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7804485;BUSINESS;9;USA;40;0;0;;
61;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7804487;BUSINESS;9;USA;40;0;0;;
